A1,"15_clicks, 15_clicks, 13_clicks"
A20194,"2_orders, 2_clicks, 11_clicks"
A20195,"7_carts, 4_clicks, 13_clicks"
A20196,"3_clicks, 13_carts, 3_clicks"
A20197,"9_clicks, 15_clicks, 8_carts"
A20198,"2_clicks, 5_clicks, 15_carts"
A20199,"13_clicks, 5_clicks, 8_carts"
A20200,"5_clicks, 8_carts, 16_clicks"
A20201,"13_carts, 3_clicks, 15_carts"
A20202,"3_clicks, 15_carts, 17_clicks"
A20203,"15_carts, 17_clicks, 14_clicks"
A20204,"1_carts, 3_clicks, 12_clicks"
A20205,"14_carts, 15_clicks, 13_clicks"
A20206,"18_clicks, 15_carts, 13_clicks"
A20207,"15_carts, 13_clicks, 12_clicks"
A20208,"2_clicks, 1_clicks, 9_carts"
A20209,"1_clicks, 9_carts, 17_clicks"
A20210,"17_clicks, 17_carts, 10_carts"
A20211,"17_carts, 10_carts, 9_clicks"
A20212,"8_carts, 13_clicks, 16_clicks"
A20213,"7_carts, 8_clicks, 6_clicks"
A20214,"6_clicks, 11_clicks, 11_orders"
A20215,"11_clicks, 11_orders, 7_orders"
A20216,"6_orders, 8_orders, 8_clicks"
A20217,"12_clicks, 11_clicks, 11_orders"
A20218,"12_clicks, 0_clicks, 15_carts"
A20219,"0_clicks, 15_carts, 10_clicks"
A20220,"12_orders, 10_clicks, 15_clicks"
A20221,"11_carts, 11_orders, 11_orders"
A20222,"11_orders, 11_orders, 12_clicks"
A20223,"11_orders, 12_clicks, 15_clicks"
A20224,"15_clicks, 10_clicks, 10_orders"
A20225,"10_orders, 10_clicks, 8_clicks"
A20226,"15_carts, 4_clicks, 0_clicks"
A20227,"0_orders, 11_orders, 0_orders"
A20228,"11_orders, 0_orders, 18_clicks"
A20229,"0_orders, 18_clicks, 18_clicks"
A20230,"13_clicks, 13_clicks, 12_carts"
A20231,"13_clicks, 12_carts, 14_clicks"
A20232,"4_clicks, 2_clicks, 18_carts"
A20233,"2_clicks, 18_carts, 18_carts"
A20234,"18_carts, 18_carts, 2_clicks"
A20235,"18_carts, 2_clicks, 12_carts"
A20236,"2_clicks, 12_carts, 0_clicks"
A20237,"0_clicks, 12_carts, 12_carts"
A20238,"12_carts, 9_clicks, 8_clicks"
A20239,"8_carts, 12_clicks, 16_clicks"
A20240,"2_clicks, 2_carts, 18_carts"
A20241,"2_carts, 18_carts, 2_clicks"
A20242,"2_clicks, 4_clicks, 18_orders"
A20243,"4_clicks, 18_orders, 2_orders"
A20244,"18_orders, 2_orders, 18_carts"
A20245,"2_orders, 18_carts, 18_orders"
A20246,"9_clicks, 3_clicks, 2_carts"
A20247,"3_clicks, 2_carts, 2_orders"
A20248,"6_clicks, 8_clicks"
A20249,"2_clicks, 6_clicks, 1_carts"
A20250,"16_clicks, 7_carts, 6_clicks"
A20251,"7_carts, 6_clicks, 14_clicks"
A20252,"4_clicks, 3_carts, 3_orders"
A20253,"12_carts, 8_clicks, 10_orders"
A20254,"8_clicks, 10_orders, 15_orders"
A20255,"10_orders, 15_orders, 1_orders"
A20256,"15_orders, 1_orders, 4_orders"
A20257,"1_orders, 4_orders, 8_orders"
A20258,"4_orders, 8_orders, 12_orders"
A20259,"8_orders, 12_orders, 8_orders"
A20260,"8_orders, 12_orders, 12_clicks"
A20261,"13_clicks, 2_carts, 2_clicks"
A20262,"15_carts, 2_clicks, 18_clicks"
A20263,"7_clicks, 9_clicks, 10_carts"
A20264,"17_clicks, 7_orders, 14_orders"
A20265,"7_orders, 14_orders, 17_orders"
A20266,"14_orders, 17_orders, 14_orders"
A20267,"17_orders, 14_orders, 7_clicks"
A20268,"14_orders, 7_clicks, 2_clicks"
A20269,"10_clicks, 11_carts, 9_clicks"
A20270,"16_clicks, 14_clicks, 9_carts"
A20271,"14_clicks, 14_clicks, 9_orders"
A20272,"14_clicks, 9_orders, 1_clicks"
A20273,"9_carts, 15_clicks, 14_clicks"
A20274,"10_carts, 0_clicks, 13_clicks"
A20275,"10_clicks, 14_clicks, 5_orders"
A20276,"14_clicks, 5_orders, 2_orders"
A20277,"5_orders, 2_orders, 5_clicks"
A20278,"2_orders, 5_clicks, 2_clicks"
A20279,"11_clicks, 13_clicks"
A20280,"16_clicks, 0_clicks, 5_carts"
A20281,"0_clicks, 5_carts, 8_clicks"
A20282,"8_clicks, 10_clicks, 10_orders"
A20283,"10_clicks, 10_orders, 7_orders"
A20284,"10_orders, 7_orders, 3_clicks"
A20285,"7_orders, 3_clicks, 0_clicks"
A20286,"16_clicks, 10_clicks, 11_carts"
A20287,"16_carts, 16_orders, 11_orders"
A20288,"16_orders, 11_orders, 12_clicks"
A20289,"11_orders, 12_clicks, 2_clicks"
A20290,"16_orders, 17_clicks, 8_clicks"
A20291,"1_carts, 1_carts, 8_clicks"
A20292,"7_clicks, 7_carts, 8_carts"
A20293,"7_carts, 8_carts, 8_carts"
A20294,"7_carts, 16_clicks, 9_clicks"
A20295,"8_carts, 12_clicks, 10_clicks"
A20296,"11_carts, 14_clicks, 6_clicks"
A20297,"11_clicks, 14_clicks, 1_orders"
A20298,"14_clicks, 1_orders, 8_orders"
A20299,"1_orders, 8_orders, 11_orders"
A20300,"8_orders, 11_orders, 1_clicks"
A20301,"10_carts, 11_clicks, 10_orders"
A20302,"11_clicks, 10_orders, 10_clicks"
A20303,"10_orders, 10_clicks, 16_clicks"
A20304,"10_carts, 3_clicks, 13_clicks"
A20305,"18_carts, 11_clicks, 11_clicks"
A20306,"1_clicks, 10_clicks, 16_carts"
A20307,"10_clicks, 16_carts, 1_clicks"
A20308,"15_clicks, 5_carts, 5_carts"
A20309,"5_carts, 5_carts, 7_carts"
A20310,"5_carts, 7_carts, 11_carts"
A20311,"7_carts, 11_carts, 3_clicks"
A20312,"3_clicks, 11_clicks, 9_carts"
A20313,"11_clicks, 9_carts, 17_carts"
A20314,"9_carts, 17_carts, 9_clicks"
A20315,"17_carts, 9_clicks, 0_clicks"
A20316,"0_clicks, 17_clicks, 4_orders"
A20317,"17_clicks, 4_orders, 7_orders"
A20318,"4_orders, 7_orders, 2_clicks"
A20319,"7_orders, 2_clicks, 1_clicks"
A20320,"5_carts, 15_clicks, 4_clicks"
A20321,"4_carts, 15_clicks, 8_clicks"
A20322,"2_clicks, 10_clicks, 8_carts"
A20323,"10_clicks, 8_carts, 6_clicks"
A20324,"8_carts, 6_clicks, 12_clicks"
A20325,"1_clicks, 5_clicks, 5_orders"
A20326,"5_orders, 5_clicks, 4_clicks"
A20327,"5_carts, 12_clicks, 7_clicks"
A20328,"10_carts, 10_carts, 6_clicks"
A20329,"17_carts, 10_clicks, 9_clicks"
A20330,"9_clicks, 4_clicks, 16_carts"
A20331,"4_clicks, 16_carts, 8_clicks"
A20332,"16_carts, 8_clicks, 4_clicks"
A20333,"17_clicks, 0_clicks, 15_carts"
A20334,"0_clicks, 15_carts, 15_carts"
A20335,"15_carts, 15_carts, 0_carts"
A20336,"15_carts, 0_carts, 0_carts"
A20337,"0_carts, 0_carts, 5_carts"
A20338,"6_clicks, 6_carts, 2_orders"
A20339,"2_orders, 6_orders, 1_orders"
A20340,"6_orders, 1_orders, 16_orders"
A20341,"1_orders, 16_orders, 3_clicks"
A20342,"16_orders, 3_clicks, 3_clicks"
A20343,"9_carts, 13_clicks, 11_clicks"
A20344,"0_carts, 0_carts, 3_carts"
A20345,"0_carts, 3_carts, 14_clicks"
A20346,"3_clicks, 3_carts, 12_orders"
A20347,"3_carts, 12_orders, 3_orders"
A20348,"12_orders, 3_orders, 0_orders"
A20349,"3_orders, 0_orders, 3_orders"
A20350,"0_orders, 3_orders, 3_orders"
A20351,"3_orders, 3_orders, 18_orders"
A20352,"3_orders, 18_orders, 10_orders"
A20353,"18_orders, 10_orders, 16_clicks"
A20354,"10_orders, 16_clicks, 4_clicks"
A20355,"12_clicks, 17_clicks, 9_carts"
A20356,"17_clicks, 9_carts, 0_clicks"
A20357,"2_clicks, 2_carts, 15_carts"
A20358,"2_carts, 15_carts, 0_carts"
A20359,"0_carts, 9_clicks, 16_clicks"
A20360,"3_carts, 18_clicks, 12_clicks"
A20361,"12_carts, 12_carts, 18_clicks"
A20362,"12_carts, 18_clicks, 4_clicks"
A20363,"3_carts, 6_clicks, 12_clicks"
A20364,"12_carts, 12_carts, 8_clicks"
A20365,"0_carts, 12_clicks, 7_clicks"
A20366,"12_clicks, 13_clicks, 12_carts"
A20367,"13_clicks, 12_carts, 12_carts"
A20368,"12_carts, 8_carts, 8_carts"
A20369,"13_clicks, 2_clicks, 16_carts"
A20370,"2_clicks, 16_carts, 16_clicks"
A20371,"14_carts, 14_clicks, 3_carts"
A20372,"14_clicks, 3_carts, 12_clicks"
A20373,"3_carts, 12_clicks, 1_clicks"
A20374,"17_carts, 17_carts, 9_orders"
A20375,"17_carts, 9_orders, 17_orders"
A20376,"9_orders, 17_orders, 3_clicks"
A20377,"17_orders, 3_clicks, 12_clicks"
A20378,"1_clicks, 10_clicks, 14_carts"
A20379,"10_clicks, 14_carts, 7_clicks"
A20380,"14_carts, 7_clicks, 1_clicks"
A20381,"1_carts, 1_clicks, 7_carts"
A20382,"1_clicks, 7_carts, 9_clicks"
A20383,"9_carts, 13_clicks, 15_carts"
A20384,"13_clicks, 15_carts, 17_clicks"
A20385,"15_carts, 17_clicks, 11_clicks"
A20386,"14_clicks, 0_clicks, 14_orders"
A20387,"0_clicks, 14_orders, 9_orders"
A20388,"14_orders, 9_orders, 1_orders"
A20389,"9_orders, 1_orders, 15_orders"
A20390,"1_orders, 15_orders, 7_orders"
A20391,"15_orders, 7_orders, 13_clicks"
A20392,"7_orders, 13_clicks, 14_clicks"
A20393,"0_clicks, 6_clicks, 0_carts"
A20394,"6_clicks, 0_carts, 12_clicks"
A20395,"0_carts, 12_clicks, 12_clicks"
A20396,"12_clicks, 18_clicks, 13_carts"
A20397,"18_clicks, 13_carts, 18_clicks"
A20398,"13_carts, 18_clicks, 3_clicks"
A20399,"16_clicks, 4_clicks, 3_carts"
A20400,"4_clicks, 3_carts, 1_clicks"
A20401,"14_clicks, 2_clicks, 3_orders"
A20402,"2_clicks, 3_orders, 17_clicks"
A20403,"3_orders, 17_clicks, 7_clicks"
A20404,"12_carts, 0_clicks, 18_clicks"
A20405,"11_carts, 7_clicks, 6_carts"
A20406,"7_clicks, 6_carts, 18_orders"
A20407,"6_carts, 18_orders, 15_clicks"
A20408,"18_orders, 15_clicks, 5_clicks"
A20409,"12_carts, 1_clicks, 18_clicks"
A20410,"12_carts, 18_clicks, 1_clicks"
A20411,"6_clicks, 6_clicks, 10_carts"
A20412,"6_clicks, 10_carts, 6_clicks"
A20413,"12_carts, 17_clicks, 15_clicks"
A20414,"11_carts, 13_clicks, 2_clicks"
A20415,"18_clicks, 9_clicks, 10_orders"
A20416,"9_clicks, 10_orders, 6_orders"
A20417,"10_orders, 6_orders, 15_orders"
A20418,"6_orders, 15_orders, 12_orders"
A20419,"15_orders, 12_orders, 18_orders"
A20420,"12_orders, 18_orders, 7_clicks"
A20421,"18_orders, 7_clicks, 3_clicks"
A20422,"2_carts, 17_clicks, 10_clicks"
A20423,"10_clicks, 5_clicks, 6_carts"
A20424,"5_clicks, 6_carts, 10_clicks"
A20425,"5_clicks, 14_clicks, 6_carts"
A20426,"7_clicks, 7_orders, 7_orders"
A20427,"7_orders, 7_orders, 13_orders"
A20428,"7_orders, 13_orders, 9_clicks"
A20429,"13_orders, 9_clicks, 15_clicks"
A20430,"9_clicks, 11_clicks, 2_carts"
A20431,"11_clicks, 2_carts, 2_carts"
A20432,"2_carts, 2_carts, 11_clicks"
A20433,"9_clicks, 11_carts, 2_carts"
A20434,"11_carts, 2_carts, 11_clicks"
A20435,"2_carts, 11_clicks, 7_clicks"
A20436,"0_orders, 0_orders, 12_clicks"
A20437,"0_orders, 12_clicks, 12_clicks"
A20438,"12_carts, 12_orders, 12_orders"
A20439,"12_orders, 12_orders, 12_clicks"
A20440,"12_carts, 12_orders, 0_clicks"
A20441,"12_orders, 0_clicks, 9_carts"
A20442,"0_clicks, 9_carts, 9_carts"
A20443,"14_clicks, 11_clicks, 2_carts"
A20444,"9_clicks, 9_carts, 14_carts"
A20445,"9_carts, 14_carts, 14_orders"
A20446,"14_orders, 14_clicks, 1_clicks"
A20447,"18_carts, 9_clicks, 8_clicks"
A20448,"7_carts, 12_clicks, 11_clicks"
A20449,"13_carts, 7_clicks, 0_clicks"
A20450,"16_carts, 6_clicks, 12_clicks"
A20451,"12_carts, 0_clicks, 15_clicks"
A20452,"4_carts, 17_clicks, 16_clicks"
A20453,"6_clicks, 14_clicks, 16_carts"
A20454,"14_clicks, 16_carts, 2_clicks"
A20455,"16_carts, 2_clicks, 16_carts"
A20456,"2_clicks, 16_carts, 17_carts"
A20457,"17_carts, 2_clicks, 16_orders"
A20458,"2_clicks, 16_orders, 17_orders"
A20459,"16_orders, 17_orders, 2_orders"
A20460,"17_orders, 2_orders, 17_carts"
A20461,"2_orders, 17_carts, 2_carts"
A20462,"17_carts, 2_carts, 17_orders"
A20463,"2_carts, 17_orders, 2_orders"
A20464,"2_orders, 17_carts, 17_orders"
A20465,"17_orders, 16_clicks, 16_clicks"
A20466,"16_clicks, 16_clicks, 4_carts"
A20467,"16_clicks, 4_carts, 16_carts"
A20468,"4_carts, 16_carts, 16_clicks"
A20469,"2_carts, 0_clicks, 11_clicks"
A20470,"17_orders, 2_clicks, 16_clicks"
A20471,"11_orders, 11_clicks, 2_clicks"
A20472,"8_clicks, 17_clicks, 3_orders"
A20473,"17_clicks, 3_orders, 3_orders"
A20474,"3_orders, 14_orders, 7_orders"
A20475,"14_orders, 7_orders, 4_clicks"
A20476,"7_orders, 4_clicks, 17_clicks"
A20477,"16_carts, 11_clicks, 10_carts"
A20478,"11_clicks, 10_carts, 1_clicks"
A20479,"10_carts, 1_clicks, 18_clicks"
A20480,"9_clicks, 0_clicks, 10_orders"
A20481,"0_clicks, 10_orders, 16_clicks"
A20482,"10_orders, 16_clicks, 11_clicks"
A20483,"4_clicks, 10_clicks, 4_carts"
A20484,"1_clicks, 5_clicks, 12_carts"
A20485,"5_clicks, 12_carts, 4_carts"
A20486,"12_carts, 4_carts, 16_clicks"
A20487,"4_carts, 16_clicks, 3_clicks"
A20488,"18_clicks, 16_clicks, 13_carts"
A20489,"13_carts, 4_clicks, 17_clicks"
A20490,"15_carts, 9_clicks, 4_clicks"
A20491,"11_clicks, 11_carts, 7_carts"
A20492,"11_carts, 7_carts, 6_carts"
A20493,"7_carts, 6_carts, 6_orders"
A20494,"6_carts, 6_orders, 11_orders"
A20495,"6_orders, 11_orders, 7_orders"
A20496,"11_orders, 7_orders, 18_clicks"
A20497,"7_orders, 18_clicks, 8_clicks"
A20498,"18_clicks, 11_clicks, 18_carts"
A20499,"11_clicks, 18_carts, 4_carts"
A20500,"18_carts, 4_carts, 4_carts"
A20501,"4_orders, 4_orders, 6_clicks"
A20502,"4_orders, 6_clicks, 12_clicks"
A20503,"3_orders, 15_clicks, 15_clicks"
A20504,"2_clicks, 6_clicks, 16_carts"
A20505,"6_clicks, 6_carts, 16_carts"
A20506,"6_carts, 16_carts, 16_carts"
A20507,"16_clicks, 16_clicks, 6_carts"
A20508,"16_clicks, 6_carts, 16_clicks"
A20509,"16_clicks, 16_carts, 6_carts"
A20510,"16_carts, 6_carts, 8_clicks"
A20511,"4_clicks, 16_orders, 10_clicks"
A20512,"16_carts, 16_orders, 10_orders"
A20513,"16_orders, 10_orders, 10_clicks"
A20514,"4_clicks, 16_clicks, 6_carts"
A20515,"3_orders, 16_carts, 3_clicks"
A20516,"16_carts, 3_clicks, 15_clicks"
A20517,"3_clicks, 10_clicks, 5_carts"
A20518,"10_clicks, 5_carts, 16_carts"
A20519,"5_carts, 16_carts, 5_carts"
A20520,"16_carts, 5_carts, 5_carts"
A20521,"5_carts, 5_carts, 16_carts"
A20522,"5_carts, 16_carts, 5_orders"
A20523,"16_carts, 5_orders, 16_clicks"
A20524,"5_orders, 16_clicks, 16_clicks"
A20525,"16_clicks, 5_carts, 16_carts"
A20526,"5_carts, 16_carts, 16_clicks"
A20527,"16_carts, 13_clicks, 4_clicks"
A20528,"2_clicks, 16_carts, 6_clicks"
A20529,"16_carts, 6_clicks, 10_clicks"
A20530,"3_clicks, 15_carts, 16_carts"
A20531,"15_carts, 16_carts, 7_clicks"
A20532,"16_carts, 7_clicks, 16_carts"
A20533,"7_clicks, 16_carts, 11_clicks"
A20534,"16_carts, 11_clicks, 7_clicks"
A20535,"7_clicks, 11_carts, 13_clicks"
A20536,"7_clicks, 11_clicks, 12_carts"
A20537,"11_clicks, 12_carts, 12_clicks"
A20538,"12_clicks, 12_orders, 7_orders"
A20539,"7_orders, 11_orders, 7_clicks"
A20540,"7_clicks, 0_clicks, 15_carts"
A20541,"0_clicks, 15_carts, 7_clicks"
A20542,"15_carts, 7_clicks, 14_clicks"
A20543,"0_carts, 15_carts, 0_clicks"
A20544,"14_clicks, 0_clicks, 15_carts"
A20545,"0_clicks, 15_carts, 15_clicks"
A20546,"4_orders, 4_clicks, 10_clicks"
A20547,"1_clicks, 1_clicks, 9_carts"
A20548,"9_clicks, 13_clicks, 1_carts"
A20549,"13_clicks, 1_carts, 1_clicks"
A20550,"1_carts, 1_clicks, 9_carts"
A20551,"1_clicks, 9_carts, 2_clicks"
A20552,"13_clicks, 0_clicks"
A20553,"17_clicks, 0_clicks, 0_orders"
A20554,"17_clicks, 4_clicks, 8_carts"
A20555,"4_clicks, 8_carts, 5_clicks"
A20556,"3_clicks, 4_clicks, 1_carts"
A20557,"4_clicks, 1_carts, 1_carts"
A20558,"6_carts, 4_clicks, 5_clicks"
A20559,"5_carts, 6_clicks, 11_clicks"
A20560,"16_clicks, 11_clicks, 7_carts"
A20561,"11_clicks, 7_carts, 10_clicks"
A20562,"6_clicks, 6_clicks, 15_carts"
A20563,"6_clicks, 15_carts, 9_clicks"
A20564,"12_clicks, 12_carts, 6_orders"
A20565,"12_carts, 6_orders, 12_orders"
A20566,"6_orders, 12_orders, 16_orders"
A20567,"12_orders, 16_orders, 1_orders"
A20568,"16_orders, 1_orders, 14_orders"
A20569,"1_orders, 14_orders, 4_orders"
A20570,"14_orders, 4_orders, 14_orders"
A20571,"4_orders, 14_orders, 9_orders"
A20572,"14_orders, 9_orders, 13_orders"
A20573,"9_orders, 13_orders, 12_clicks"
A20574,"13_orders, 12_clicks, 18_clicks"
A20575,"12_clicks, 5_clicks, 12_carts"
A20576,"10_carts, 5_clicks, 9_clicks"
A20577,"7_carts, 15_clicks, 13_clicks"
A20578,"11_clicks, 3_clicks, 1_orders"
A20579,"3_clicks, 1_orders, 7_orders"
A20580,"1_orders, 7_orders, 12_orders"
A20581,"7_orders, 12_orders, 7_clicks"
A20582,"12_orders, 7_clicks, 8_clicks"
A20583,"8_carts, 2_clicks, 2_clicks"
A20584,"16_clicks, 13_clicks, 11_orders"
A20585,"13_clicks, 11_orders, 13_orders"
A20586,"11_orders, 13_orders, 11_clicks"
A20587,"13_orders, 11_clicks, 14_clicks"
A20588,"11_clicks, 13_clicks, 1_carts"
A20589,"13_clicks, 1_carts, 13_clicks"
A20590,"9_carts, 15_clicks, 16_clicks"
A20591,"13_carts, 12_clicks, 10_clicks"
A20592,"5_carts, 3_clicks, 16_clicks"
A20593,"16_carts, 2_clicks, 6_carts"
A20594,"2_clicks, 6_carts, 16_orders"
A20595,"16_orders, 6_orders, 14_clicks"
A20596,"6_orders, 14_clicks, 11_clicks"
A20597,"16_carts, 16_orders, 2_clicks"
A20598,"16_orders, 2_clicks, 17_clicks"
A20599,"9_carts, 12_clicks, 10_clicks"
A20600,"13_clicks, 7_carts, 15_clicks"
A20601,"7_carts, 15_clicks, 11_clicks"
A20602,"4_carts, 2_clicks, 12_clicks"
A20603,"9_carts, 2_clicks, 5_clicks"
A20604,"10_carts, 11_clicks, 1_clicks"
A20605,"0_carts, 10_clicks, 6_carts"
A20606,"10_clicks, 6_carts, 14_clicks"
A20607,"4_clicks, 5_clicks, 17_carts"
A20608,"5_clicks, 17_carts, 14_clicks"
A20609,"17_carts, 14_clicks, 11_clicks"
A20610,"4_clicks, 17_clicks, 2_orders"
A20611,"17_clicks, 2_orders, 11_orders"
A20612,"2_orders, 11_orders, 10_orders"
A20613,"11_orders, 10_orders, 2_orders"
A20614,"10_orders, 2_orders, 11_orders"
A20615,"2_orders, 11_orders, 11_orders"
A20616,"11_orders, 11_orders, 11_orders"
A20617,"11_orders, 9_orders, 2_orders"
A20618,"9_orders, 2_orders, 0_orders"
A20619,"2_orders, 0_orders, 10_orders"
A20620,"0_orders, 10_orders, 1_orders"
A20621,"10_orders, 1_orders, 10_orders"
A20622,"10_orders, 1_orders, 9_orders"
A20623,"1_orders, 9_orders, 4_orders"
A20624,"9_orders, 4_orders, 10_orders"
A20625,"4_orders, 10_orders, 4_orders"
A20626,"10_orders, 4_orders, 15_clicks"
A20627,"4_orders, 15_clicks, 18_clicks"
A20628,"15_carts, 9_clicks, 5_clicks"
A20629,"15_clicks, 0_clicks, 5_orders"
A20630,"0_clicks, 5_orders, 11_orders"
A20631,"5_orders, 11_orders, 2_orders"
A20632,"2_orders, 15_orders, 5_orders"
A20633,"15_orders, 5_orders, 7_orders"
A20634,"7_orders, 14_orders, 13_orders"
A20635,"14_orders, 13_orders, 9_clicks"
A20636,"13_orders, 9_clicks, 16_clicks"
A20637,"4_orders, 4_clicks, 16_clicks"
A20638,"12_clicks, 9_clicks, 1_carts"
A20639,"9_clicks, 1_carts, 3_clicks"
A20640,"4_clicks, 17_clicks, 1_carts"
A20641,"1_carts, 1_clicks, 8_carts"
A20642,"1_clicks, 8_carts, 1_orders"
A20643,"8_carts, 1_orders, 1_orders"
A20644,"1_orders, 1_orders, 8_orders"
A20645,"8_orders, 8_clicks, 16_clicks"
A20646,"14_clicks, 6_clicks, 8_carts"
A20647,"6_clicks, 8_carts, 14_carts"
A20648,"8_carts, 14_carts, 6_clicks"
A20649,"2_clicks, 2_carts, 14_orders"
A20650,"2_carts, 14_orders, 2_orders"
A20651,"14_orders, 2_orders, 8_orders"
A20652,"2_orders, 8_orders, 2_clicks"
A20653,"8_orders, 2_clicks, 15_clicks"
A20654,"16_clicks, 14_clicks, 2_carts"
A20655,"4_carts, 17_carts, 6_clicks"
A20656,"17_carts, 6_clicks, 17_carts"
A20657,"17_carts, 8_clicks, 14_carts"
A20658,"8_clicks, 14_carts, 17_clicks"
A20659,"17_clicks, 7_clicks, 18_carts"
A20660,"1_orders, 17_clicks, 17_carts"
A20661,"17_orders, 18_clicks, 18_clicks"
A20662,"15_carts, 15_orders, 9_clicks"
A20663,"15_orders, 9_clicks, 11_clicks"
A20664,"5_carts, 15_clicks, 17_clicks"
A20665,"18_clicks, 8_clicks, 11_carts"
A20666,"13_clicks, 13_clicks"
A20667,"5_clicks, 8_orders, 11_orders"
A20668,"8_orders, 11_orders, 12_orders"
A20669,"11_orders, 12_orders, 11_orders"
A20670,"12_orders, 11_orders, 12_orders"
A20671,"12_orders, 11_orders, 15_orders"
A20672,"11_orders, 15_orders, 10_orders"
A20673,"15_orders, 10_orders, 8_clicks"
A20674,"16_clicks, 16_carts, 3_carts"
A20675,"16_carts, 3_carts, 5_clicks"
A20676,"3_carts, 5_clicks, 7_clicks"
A20677,"0_clicks, 1_clicks"
A20678,"8_carts, 1_clicks, 14_clicks"
A20679,"15_clicks, 6_clicks, 6_orders"
A20680,"6_clicks, 6_orders, 8_clicks"
A20681,"6_orders, 8_clicks, 0_clicks"
A20682,"0_carts, 12_clicks, 5_clicks"
A20683,"7_clicks, 10_carts, 0_clicks"
A20684,"10_carts, 0_clicks, 4_clicks"
A20685,"4_carts, 3_clicks, 8_clicks"
A20686,"18_clicks, 17_clicks, 6_carts"
A20687,"17_clicks, 6_carts, 7_clicks"
A20688,"9_clicks, 7_clicks, 0_carts"
A20689,"0_carts, 2_clicks, 13_clicks"
A20690,"2_clicks, 13_clicks, 6_orders"
A20691,"13_clicks, 6_orders, 5_clicks"
A20692,"6_orders, 5_clicks, 0_clicks"
A20693,"18_clicks, 18_carts, 8_orders"
A20694,"18_carts, 8_orders, 1_clicks"
A20695,"8_orders, 1_clicks, 15_clicks"
A20696,"17_carts, 9_clicks, 7_clicks"
A20697,"14_carts, 17_clicks, 15_clicks"
A20698,"1_carts, 6_clicks, 0_clicks"
A20699,"10_clicks, 2_clicks, 16_carts"
A20700,"2_clicks, 16_carts, 10_clicks"
A20701,"2_clicks, 2_carts, 16_orders"
A20702,"2_carts, 16_orders, 8_clicks"
A20703,"16_orders, 8_clicks, 0_clicks"
A20704,"11_clicks, 15_clicks, 15_orders"
A20705,"15_clicks, 15_orders, 2_clicks"
A20706,"15_orders, 2_clicks, 4_clicks"
A20707,"6_orders, 6_clicks, 14_clicks"
A20708,"10_orders, 6_clicks, 10_clicks"
A20709,"2_carts, 4_clicks, 2_orders"
A20710,"4_clicks, 2_orders, 4_orders"
A20711,"2_orders, 4_orders, 4_clicks"
A20712,"1_clicks, 12_clicks"
A20713,"13_carts, 3_clicks, 16_clicks"
A20714,"16_clicks, 9_carts, 11_carts"
A20715,"9_carts, 11_carts, 17_clicks"
A20716,"11_clicks, 6_clicks, 3_carts"
A20717,"6_clicks, 3_carts, 8_clicks"
A20718,"3_carts, 8_clicks, 2_clicks"
A20719,"12_clicks, 16_clicks, 13_orders"
A20720,"16_clicks, 13_orders, 15_orders"
A20721,"13_orders, 15_orders, 8_orders"
A20722,"15_orders, 8_orders, 4_orders"
A20723,"8_orders, 4_orders, 7_orders"
A20724,"4_orders, 7_orders, 11_orders"
A20725,"7_orders, 11_orders, 1_orders"
A20726,"11_orders, 1_orders, 7_orders"
A20727,"1_orders, 7_orders, 16_orders"
A20728,"7_orders, 16_orders, 16_orders"
A20729,"16_orders, 16_orders, 6_orders"
A20730,"16_orders, 6_orders, 1_orders"
A20731,"6_orders, 1_orders, 12_clicks"
A20732,"1_orders, 12_clicks, 12_clicks"
A20733,"12_clicks, 4_clicks, 10_carts"
A20734,"10_carts, 9_clicks, 7_carts"
A20735,"9_clicks, 7_carts, 15_clicks"
A20736,"15_clicks, 2_carts, 7_clicks"
A20737,"4_clicks, 4_carts, 2_orders"
A20738,"4_carts, 2_orders, 4_orders"
A20739,"2_orders, 4_orders, 10_orders"
A20740,"4_orders, 10_orders, 7_orders"
A20741,"10_orders, 7_orders, 16_clicks"
A20742,"7_orders, 16_clicks, 11_clicks"
A20743,"5_clicks, 3_clicks"
A20744,"7_clicks, 7_clicks, 9_carts"
A20745,"7_clicks, 9_carts, 18_clicks"
A20746,"9_carts, 18_clicks, 18_clicks"
A20747,"12_clicks, 9_clicks, 9_orders"
A20748,"9_orders, 1_clicks, 11_clicks"
A20749,"11_carts, 4_clicks, 12_clicks"
A20750,"8_clicks, 16_carts, 16_clicks"
A20751,"4_clicks, 8_clicks"
A20752,"6_clicks, 6_clicks, 11_carts"
A20753,"11_carts, 15_clicks, 9_carts"
A20754,"15_clicks, 9_carts, 0_orders"
A20755,"9_carts, 0_orders, 0_clicks"
A20756,"16_carts, 11_clicks, 17_carts"
A20757,"17_clicks, 17_orders, 11_clicks"
A20758,"8_clicks, 8_orders, 8_orders"
A20759,"8_orders, 8_orders, 12_clicks"
A20760,"7_orders, 0_clicks, 4_clicks"
A20761,"8_orders, 8_clicks, 2_clicks"
A20762,"14_carts, 9_clicks, 10_carts"
A20763,"9_clicks, 4_clicks, 1_carts"
A20764,"4_clicks, 1_carts, 11_clicks"
A20765,"1_carts, 11_clicks, 1_orders"
A20766,"6_carts, 10_clicks, 6_clicks"
A20767,"5_carts, 15_clicks, 3_clicks"
A20768,"14_clicks, 9_clicks, 11_carts"
